"","folio","Edo","VERSION","INCIO","B","C","p1","p2a","p2b","p2c","P4","P5","p6","p7","P8","P9","P10A","P10B","P10C","P10D","P10E","P11","P12A","P12B","P12C","P12D","P12E","P12F","P12G","P12H","P12I","P12J","P12K","P12L","P12M","P12N","P12O","P12P","P12Q","P13A","P13B","P13C","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","p26","P27","P28","P29A","P29B","P29C","P29D","P29E","P29F","P29G","P30","P31","P32","P33","P34","P35A","P35B","P35D","P35E","P36","P37","P38A","P38B","P38C","P38D","P38E","P39A","P39B","P39C","P39D","P40","P41A","P41B","P41C","P42","P43","P44","P45","P46A","P46B","P46C","P46D","P46E","P46F","P46G","P47","boleta1","boleta2","FINAL","DIA","escol_x","gedad","cruce","ponde_rake","cve_unica_sec","circ","ClaveEntidad","Entidad","ClaveMun","Municipio","DistritoFederal","SECCION","Tipo1","FE_Final_","p1_recodificada","p19_recodificada"
"1264",1264,"Sonora","Versión B",1231,"Mujer","18","Corrupción","Corrupción","Mal gobierno","Inseguridad pública","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","No se aplican las leyes","La pobreza y desigualdad","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Algo","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Algo","Corrupto","Corrupto","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","Sí","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","Sí","No","No","No","Sí","No","Sí","Los ciudadanos","Bien","Está fracasando","Sí","Mayores","Mucho","Algo","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Algo","Algo","Poca","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ns/Nc","PAN","Preparatoria o bachillerato sin terminar","Estudiante","Sí","Sí","Sí","Sí","No","No","Sí","$16,001 -  $ 20,000","Moviento Ciudadano","Candidato Independiente",1253,4,"Secundaria","18-29",21,0.909512391194432,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",53548.9371856408,"Corrupción",1
"1265",1265,"Sonora","Versión A",1259,"Mujer","51","Pobreza","Inseguridad pública","Mal gobierno","Economía","Aprueba totalmente","Que permanezca","Otra respuesta","Injusticia","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Ns/Nc","Corrupto","Ns/Nc","Ns/Nc","Siempre","Nunca","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No aplica","No",NA,"No sirve denunciar","Aumentado","Ns/Nc","No","Sí","No","No","No","No","Sí","Todos","Bien","Está siendo exitoso","Sí","Mayores","Algo","Algo","Mucho","Mucho","Seguridad pública","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","PAN","Secundaria","Ama de casa","Sí","No","Sí","Sí","No","Sí","Sí","$16,001 -  $ 20,000","Ns/Nc","Ns/Nc",1319,4,"Secundaria","50-+",23,0.808042407942561,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",47574.7362709653,"Pobreza",2
"1266",1266,"Sonora","Versión B",1335,"Hombre","23","Pobreza","Pobreza","Corrupción","Inseguridad pública","Desaprueba algo","Que permanezca","Todos formamos parte / todos nosotros/ en todos lados","Ns/Nc","La pobreza y desigualdad","Sí se justifica","Sí","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","Sí","Una","No",NA,NA,"No aplica","No",NA,"No sirve denunciar","Aumentado","Aumentará","No","No","No","No","No","No","Sí","Los ciudadanos","Regular","Ns/Nc","No","No habría diferencia","Algo","Mucho","Algo","Mucho","Economía","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Algo","Mucha","Mucha","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Mal","Castigar","Castigar","Ns/Nc","PRI","Morena","Universidad sin terminar","Estudiante","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$ 20,001 - $ 32,000","PRI","PRI",1357,4,"Preparatoria o equivalente","18-29",11,0.827720774556879,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",48733.3302911768,"Pobreza",1
"1267",1267,"Sonora","Versión A",1420,"Mujer","56","Seguridad / Inseguridad","Corrupción","Inseguridad pública","Mal gobierno","Aprueba totalmente","Que permanezca","Pobreza","Se permite / No se hace nada","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Ns/Nc","Mucha","Poca","Mucha","Mucha","Mucha","Ns/Nc","Ns/Nc","Mucha","Mucha","Ns/Nc","Corrupto","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Nunca","Muy frecuentemente","Sirve","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Muy bien","Está siendo exitoso","No","Mayores","Mucho","Algo","Algo","Poco","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Trabajador en el gobierno","Sí","No","Sí","Sí","Sí","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1441,4,"Secundaria","50-+",23,0.808042407942561,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",47574.7362709653,"Inseguridad",1
"1268",1268,"Sonora","Versión B",1443,"Mujer","30","Inflación / Aumento precios / Precios","Corrupción","Aumento de precios/Inflación","Pobreza","Aprueba totalmente","Que permanezca","PRI-PAN","No se aplican las leyes","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","Ns/Nc","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Algo","Poca","Mucha","Mucha","Ns/Nc","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","Todos","Muy bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Servicios públicos","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","Morena","PRI","Universidad terminada","Profesor o maestro","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$10,001 -  $16,000","Candidato Independiente","MORENA",1505,4,"Universidad o más","30-49",22,1.51895463734562,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",89430.7842867749,"Economía",2
"1269",1269,"Sonora","Versión A",1512,"Hombre","36","Corrupción","Corrupción","Pobreza","Inseguridad pública","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Deshonestidad","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Algo","Mucha","Algo","Corrupto","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","Sí","Una","No",NA,NA,"No aplica","No",NA,"Por miedo a represalias","Aumentado","Disminuirá","No","No","No","No","Sí","No","Sí","Todos","Muy bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Economía","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Algo","Mucha","Algo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","Morena","PRI","Carrera técnica o comercial","Trabajador en sector privado","Sí","No","Sí","Sí","No","Sí","Sí","$2,601 -  $6,000","MORENA","MORENA",1531,4,"Preparatoria o equivalente","30-49",12,0.73757636124298,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",43425.9396795512,"Corrupción",1
"1270",1270,"Sonora","Versión B",1535,"Hombre","28","Mal gobierno / Mala Administración","Inseguridad pública","Mal gobierno","Pobreza","Desaprueba algo","Ns/Nc","Mal gobierno / Gobierno","Desgracia","La pobreza y desigualdad","Sí se justifica","Sí","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","Sí","Tres","No",NA,NA,"No aplica","No",NA,"No sirve denunciar","Aumentado","Aumentará","No","No","No","No","No","No","Sí","El Gobierno","Regular","Está fracasando","No","No habría diferencia","Mucho","Mucho","Mucho","Mucho","Servicios públicos","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Muy mal","Castigar","Castigar","Castigar","Ninguno","Ninguno","Universidad sin terminar","Desempleado","Sí","Sí","Sí","Sí","Sí","Sí","Sí","$2,601 -  $6,000","Ns/Nc","Ns/Nc",1557,4,"Preparatoria o equivalente","18-29",11,0.827720774556879,1260998,1,26,"Sonora             ",60,"EMPALME                                          ",4,998,"Mixto",48733.3302911768,"Corrupción",3
"1271",1271,"Tabasco","Versión A",1004,"Mujer","36","Desempleo","Pobreza","Desempleo","Economía","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Ns/Nc","La pobreza y desigualdad","Sí se justifica","Sí","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Ns/Nc","Algo","Mucha","Ns/Nc","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Ns/Nc","Mayores","Mucho","Mucho","Algo","Mucho","Salud","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","Otro","Primaria","Ama de casa","Sí","No","No","No","No","No","No","$2,601 -  $6,000","Nueva Alianza","Nueva Alianza",1020,1,"Hasta primaria","30-49",22,1.27946782650101,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",82142.7472369451,"Desempleo",2
"1272",1272,"Tabasco","Versión B",1026,"Hombre","81","Delincuencia","Inseguridad pública","Pobreza","Corrupción","Aprueba totalmente","Que permanezca","Corruptos","Corrupción","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Ns/Nc","Algo","Mucha","Mucha","Poca","Poca","Mucha","Ns/Nc","Poca","Algo","Algo","Algo","Ns/Nc","Ns/Nc","Ns/Nc","Algo","Ns/Nc","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","No","Ninguna","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","Todos","Bien","Está siendo exitoso","No","No habría diferencia","Poco","Poco","Mucho","Poco","Educación","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Poca","Poca","Poca","Poca","Ns/Nc","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Ns/Nc","Castigar","Ns/Nc","Castigar","Morena","Ns/Nc","Primaria sin terminar","Campesino o jornalero","No","No","No","No","No","No","No","Hasta $2,600","MORENA","MORENA",1043,1,"Hasta primaria","50-+",13,1.01311182301472,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",65042.5017940791,"Inseguridad",0
"1273",1273,"Tabasco","Versión A",1050,"Hombre","20","Corrupción","Desempleo","Pobreza","Corrupción","Aprueba totalmente","Que permanezca","Cobros indebidos","Poder / Abuso de poder","La cultura y educación","No se justifica","No","Sí","Sí","Sí","No","Entre los ciudadanos","Algo","Algo","Algo","Ns/Nc","Nada","Mucha","Poca","Ns/Nc","Nada","Nada","Algo","Algo","Poca","Poca","Mucha","Mucha","Poca","Ns/Nc","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","No","Dos","Ns/Nc",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Algo","Nada","Algo","Algo","Educación","Las personas son honestas y no necesitan ser vigiladas","Algo","Algo","Algo","Algo","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Ns/Nc","Castigar","PRI","PAN","Secundaria","Trabajador por cuenta propia","Sí","No","No","No","No","Sí","Sí","$2,601 -  $6,000","PRI","PRI",1105,1,"Secundaria","18-29",11,0.837221857629189,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",53750.2405359826,"Corrupción",2
"1274",1274,"Tabasco","Versión B",1115,"Mujer","40","Delincuencia","Mal gobierno","Pobreza","Corrupción","Aprueba totalmente","Que permanezca","Ns/Nc","Ns/Nc","La pobreza y desigualdad","No se justifica","Sí","Sí","Sí","Sí","No","En el Gobierno y sector público","Poca","Poca","Mucha","Poca","Poca","Mucha","Mucha","Mucha","Poca","Poca","Poca","Mucha","Algo","Poca","Algo","Mucha","Nada","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Sirve","No","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Regular","Está siendo exitoso","Sí","No habría diferencia","Mucho","Mucho","Mucho","Poco","Impartición de justicia","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Poca","Mucha","Poca","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Ns/Nc","Castigar","Perdonar","Perdonar","PRI","Otro","Primaria","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","MORENA","PRI",1131,1,"Hasta primaria","30-49",22,1.27946782650101,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",82142.7472369451,"Inseguridad",1
"1275",1275,"Tabasco","Versión A",1141,"Mujer","35","Delincuencia","Inseguridad pública","Economía","Pobreza","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Algo","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Corrupto","Corrupto","Corrupto","Nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Aumentará","No","No","No","No","No","No","No","Todos","Bien","Está siendo exitoso","No","Mayores","Algo","Algo","Mucho","Mucho","Economía","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Bien","Perdonar","Perdonar","Perdonar","Ninguno","Ninguno","Universidad sin terminar","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","En blanco","En blanco",1157,1,"Preparatoria o equivalente","30-49",22,0.752089928525343,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",48284.7099541823,"Inseguridad",1
"1276",1276,"Tabasco","Versión B",1212,"Mujer","90","Delincuencia","Inseguridad pública","Pobreza","Desempleo","Aprueba totalmente","Que permanezca","Ns/Nc","Ns/Nc","Ns/Nc","No se justifica","Sí","No","No","Ns/Nc","No","Ns/Nc","Ns/Nc","Mucha","Ns/Nc","Ns/Nc","Algo","Ns/Nc","Mucha","Algo","Poca","Mucha","Ns/Nc","Poca","Ns/Nc","Mucha","Poca","Mucha","Poca","Ns/Nc","Honesto","Honesto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Ns/Nc","Sirve","No","Ninguna","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Ns/Nc","Ns/Nc","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Poco","Ns/Nc","Ns/Nc","Ns/Nc","Salud","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Nada","Poca","Algo","En desacuerdo","De acuerdo","Ns/Nc","De acuerdo","No lo conoce","Castigar","Castigar","Ns/Nc","Morena","Ns/Nc","Primaria sin terminar","Ama de casa","No","No","No","No","No","No","No","Hasta $2,600","MORENA","MORENA",1227,1,"Hasta primaria","50-+",23,1.35905504856531,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",87252.3036711985,"Inseguridad",0
"1277",1277,"Tabasco","Versión A",1239,"Hombre","51","Pobreza","Corrupción","Inseguridad pública","Pobreza","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Robo","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Poca","Poca","Poca","Mucha","Poca","Mucha","Mucha","Mucha","Ns/Nc","Poca","Poca","Mucha","Poca","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Dos","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","No","Todos","Muy bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Economía","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Campesino o jornalero","Sí","No","Sí","No","No","No","Sí","$2,601 -  $6,000","MORENA","MORENA",1256,1,"Secundaria","50-+",13,0.602357732196415,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",38671.796130538,"Pobreza",2
"1278",1278,"Tabasco","Versión B",1319,"Hombre","50","Crisis economica","Mal gobierno","Aumento de precios/Inflación","Economía","Aprueba totalmente","Que permanezca","Maldad / Algo malo / malo","Injusticia","La impunidad o falta de castigo","Sí se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Poca","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Poca","Poca","Mucha","Mucha","Poca","Honesto","Honesto","Honesto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","Sí","Tres","No",NA,NA,"No","No",NA,"No sirve denunciar","Aumentado","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Economía","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy bien","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Campesino o jornalero","No","No","No","No","No","No","No","$2,601 -  $6,000","MORENA","MORENA",1335,1,"Secundaria","50-+",13,0.602357732196415,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",38671.796130538,"Economía",3
"1279",1279,"Tabasco","Versión A",1341,"Mujer","23","Seguridad / Inseguridad","Inseguridad pública","Aumento de precios/Inflación","Mal gobierno","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Ns/Nc","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Poca","Mucha","Mucha","Algo","Mucha","Algo","Algo","Mucha","Algo","Nada","Mucha","Algo","Poca","Corrupto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Tres","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Aumentará","No","No","No","No","No","No","No","El Gobierno","Ns/Nc","Está fracasando","Sí","Mayores","Algo","Poco","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Poca","Algo","Nada","Nada","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ninguno","Otro","Secundaria","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","MORENA","MORENA",1359,1,"Secundaria","18-29",21,0.909512391194432,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",58391.3443631205,"Inseguridad",3
"1280",1280,"Tabasco","Versión B",1406,"Hombre","43","Crimen Organizado","Inseguridad pública","Pobreza","Desempleo","Aprueba algo","Que permanezca","Robo","Burla / Descaro","La cultura y educación","No se justifica","Sí","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Poca","Poca","Poca","Poca","Algo","Mucha","Algo","Poca","Algo","Mucha","Ns/Nc","Ns/Nc","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","No","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","Mayores","Poco","Poco","Poco","Poco","Seguridad pública","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Mal","Castigar","Ns/Nc","Castigar","PRI","Ninguno","Secundaria sin terminar","Trabajador por cuenta propia","Sí","No","No","No","No","No","No","$2,601 -  $6,000","PRI","PRI",1424,1,"Hasta primaria","30-49",12,1.2547771057757,1270843,3,27,"Tabasco            ",10,"JALPA DE MENDEZ                                  ",5,843,"Rural",80557.5853519574,"Inseguridad",1
"1281",1281,"Tabasco","Versión A",1050,"Mujer","61","Desempleo","Pobreza","Aumento de precios/Inflación","Economía","Aprueba totalmente","Que permanezca","Ns/Nc","Ns/Nc","La cultura y educación","No se justifica","No","No","No","No","No","Entre los ciudadanos","Mucha","Mucha","Nada","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Honesto","Honesto","Corrupto","Ns/Nc","La mayoría de las veces","Muy frecuentemente","Sirve","Sí","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Ns/Nc","No","No","No","No","No","No","No","Ambas / Los dos","Bien","Está siendo exitoso","Sí","Mayores","Algo","Algo","Algo","Ns/Nc","Ns/Nc","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Morena","PRI","Primaria sin terminar","Ama de casa","No","No","No","No","No","No","No","$2,601 -  $6,000","MORENA","MORENA",1107,4,"Hasta primaria","50-+",23,1.35905504856531,1270878,3,27,"Tabasco            ",12,"MACUSPANA                                        ",1,878,"Urbano",80531.1886015055,"Desempleo",1
"1282",1282,"Tabasco","Versión B",1116,"Hombre","53","Desempleo","Pobreza","Economía","Mal gobierno","Desaprueba algo","Que renuncie","Autoridades","Ex Presidentes","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Algo","Ns/Nc","Algo","Algo","Mucha","Ns/Nc","Algo","Mucha","Mucha","Mucha","Mucha","Algo","Mucha","Mucha","Ns/Nc","Honesto","Ns/Nc","Corrupto","Nunca","Nunca","Muy frecuentemente","Es inútil","No","Una","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","No","No","No","No","No","Los ciudadanos","Regular","Está siendo exitoso","No","Mayores","Algo","Poco","Mucho","Mucho","Seguridad pública","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ninguno","Ns/Nc","Universidad terminada","Desempleado","No","No","No","No","No","No","No","$2,601 -  $6,000","PAN","PRD",1133,4,"Universidad o más","50-+",13,1.20274294503072,1270878,3,27,"Tabasco            ",12,"MACUSPANA                                        ",1,878,"Urbano",71268.8710053706,"Desempleo",1
"1283",1283,"Tabasco","Versión A",1140,"Mujer","60","Delincuencia","Desempleo","Economía","Pobreza","Aprueba totalmente","Ns/Nc","Robo","Mal gobierno / Gobierno","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","Entre los ciudadanos","Nada","Mucha","Algo","Nada","Algo","Algo","Mucha","Ns/Nc","Ns/Nc","Algo","Ns/Nc","Algo","Poca","Poca","Algo","Algo","Algo","Honesto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Ninguna","No",NA,NA,"No","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","No","Todos","Bien","Ns/Nc","Sí","Mayores","Nada","Nada","Mucho","Nada","Salud","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","Ninguno","Ninguno","Preparatoria o bachillerato","Ama de casa","No","No","No","No","No","No","No","$6,001 -  $10,000","En blanco","En blanco",1156,4,"Preparatoria o equivalente","50-+",23,0.798872463352781,1270878,3,27,"Tabasco            ",12,"MACUSPANA                                        ",1,878,"Urbano",47337.4121840956,"Inseguridad",0
